City,population,area,density
Brisbane,2350000,4673.2,502.8674142
Darwin,140068,3163.8,44.27207788
Melbourne,4641000,8806,527.027027
Newcastle,154777,261.8,591.2032086
Perth,1980000,6418,308.5073232
Wollongong,202000,572.2,353.0234184
Antwerpen,527763,204.5,2580.748166
Charleroi,203376,102.1,1991.929481
Liège,197013,69.39,2839.213143
São Paulo,12038000,1521,7914.529915
Vitória,359550,93,3866.129032
Vancouver,676593,114.97,5884.952596
Calama,138402,15596.9,8.873686438
Quilpué,150723,537,280.6759777
Talca,352966,231.5,1524.691145
Beijing,18590000,16410,1132.845826
Changsha,4597000,11820,388.9170897
Chengdu,10152000,14380,705.9805285
Foshan,1410000,3848,366.4241164
Fushun,2269093,11270,201.3392192
Fuzhou,4468000,12230,365.3311529
Guangzhou,11548000,7434,1553.403282
Guiyang,3037000,8034,378.0184217
Haikou,2873400,2237,1284.488154
Hangzhou,7082000,16850,420.2967359
Harbin,5282000,53070,99.52892406
Hefei,3310000,11430,289.5888014
Hegang,545404,14680,37.15286104
Jieyang,5688708,5240,1085.631298
Jinan,4694000,10250,457.9512195
Kunming,3891000,21500,180.9767442
Lhasa,902500,29520,30.57249322
Nanchang,2357000,7194,327.6341396
Nanjing,8460000,6596,1282.595512
Nanning,4037000,22190,181.9287968
Ningbo,9404283,9816,958.0565403
Qingdao,6188000,11230,551.0240427
Qinhuangdao,2644133,7792,339.3394507
Qiqihar,1482000,42210,35.11016347
Shantou,5502031,2248,2447.522687
Shenzhen,11908000,2050,5808.780488
Suzhou,4074000,8488,479.9717248
Taiyuan,3304023,6956,474.9889304
Xiamen,4290000,1701,2522.045855
Xining,1751487,7596,230.5801738
Xinxiang,5125135,8629,593.9430989
Xi’an,8705000,10100,861.8811881
Yinchuan,953832,8875,107.4740282
Yunfu,2383400,7813.4,305.0400594
Zhengzhou,6406000,1076.09,5953.033668
Zhuzhou,3855609,11262,342.3556207
Ürümqi,3550000,14577,243.5343349
Marseille,870018,240.62,3615.734353
Nancy,105058,15.01,6999.200533
Nantes,318808,65.19,4890.44332
Strasbourg,287228,78.26,3670.176335
Berlin,3671000,891.85,4116.163032
Hamburg,1787000,755.26,2366.072611
Budapest,1760000,525.2,3351.104341
Győr,128808,174.61,737.6897085
Miskolc,171096,236.68,722.9001183
Pécs,145347,162.6,893.8929889
Szeged,162000,280.84,576.8409059
Bengaluru,8444000,741,11395.41161
Bhopal,1745000,308.14,5663.01032
Chandigarh,1055450,114,9258.333333
Delhi,11035000,1484,7435.983827
